,STATE/UT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
0,ANDHRA PRADESH,2001,5204,3110,272,1742,0,1742,2364,1530,834,428,18,1258,14440,33502,6102,27400,6002,1576,10782,288,1744,69894,840,7088,4542,11582,14,14800,68688,260178
1,ANDHRA PRADESH,2002,5050,3288,330,2004,0,2004,2604,1708,896,394,6,1296,15256,38444,7088,31356,4280,2100,13466,310,1982,79678,898,7598,4048,14036,0,17382,72770,287220
2,ANDHRA PRADESH,2003,5334,3356,294,1892,0,1892,2970,1862,1108,352,10,1320,18100,46816,9042,37774,4656,2198,15162,636,2098,83090,932,8256,4572,16334,10,17030,78484,313902
3,ANDHRA PRADESH,2004,5158,3816,326,2032,0,2032,3052,2060,992,398,4,1192,16914,47156,10084,37072,5080,1796,15856,350,1830,86670,1024,7634,4620,16776,4,22904,72920,317512
4,ANDHRA PRADESH,2005,5500,3448,222,1870,2,1868,3224,1990,1234,500,8,1588,15908,47556,10930,36626,4052,1896,15818,514,1934,84358,886,7190,5016,17392,6,19946,75414,314246
5,ANDHRA PRADESH,2006,5532,3720,246,2098,2,2096,4060,2658,1402,356,6,1358,16608,47020,10626,36394,5832,2014,16726,648,2024,95892,1038,9068,4822,18328,0,22978,87444,347818
6,ANDHRA PRADESH,2007,5330,3770,270,2140,0,2140,4194,3128,1066,340,12,1228,15354,48782,12366,36416,3996,1738,16206,448,2352,92244,1226,8812,6632,22670,0,25258,87172,350174
7,ANDHRA PRADESH,2008,5380,3884,330,2514,0,2514,3940,2792,1148,220,22,1246,16664,50724,14594,36130,3860,1980,16786,758,2042,96334,1112,9460,7102,20612,0,25722,87858,358550
8,ANDHRA PRADESH,2009,4898,3718,268,2376,0,2376,3916,3052,864,204,54,1088,15544,49384,15608,33776,4522,1808,17056,922,2078,88976,1092,10294,7040,22594,0,26876,96174,360882
9,ANDHRA PRADESH,2010,5076,3906,310,2724,0,2724,4106,3062,1044,268,4,1100,16400,53512,14844,38668,4462,2260,18328,372,1850,93554,1176,9268,9124,24160,0,28170,82746,362876
10,ANDHRA PRADESH,2011,5616,4458,342,2884,0,2884,4308,3224,1084,252,14,1200,16600,56534,17932,38602,4420,2348,19496,448,2042,108904,1198,9698,7316,26752,0,27946,76784,379560
11,ANDHRA PRADESH,2012,5434,4366,316,2682,0,2682,3740,2806,934,262,2,1336,16884,54950,16072,38878,3756,2542,22004,520,1960,113536,1008,9632,7428,26778,0,27858,78050,385044
12,ARUNACHAL PRADESH,2001,166,106,6,66,0,66,166,110,56,44,4,168,496,886,72,814,48,82,60,8,26,932,0,156,6,22,0,0,1236,4684
13,ARUNACHAL PRADESH,2002,122,76,12,76,0,76,114,76,38,44,0,192,498,790,102,688,42,46,58,10,40,802,0,136,4,26,0,0,1368,4456
14,ARUNACHAL PRADESH,2003,154,40,6,62,0,62,136,102,34,74,0,120,506,740,100,640,14,56,42,14,20,854,0,86,0,28,0,0,1170,4122
15,ARUNACHAL PRADESH,2004,134,90,2,84,0,84,130,82,48,60,4,90,430,776,150,626,130,52,68,2,38,858,0,122,0,8,0,0,1434,4512
16,ARUNACHAL PRADESH,2005,162,74,10,70,0,70,116,78,38,46,0,154,526,1062,238,824,46,72,56,8,26,766,0,134,0,18,0,138,1124,4608
17,ARUNACHAL PRADESH,2006,120,66,6,74,0,74,150,102,48,56,0,148,514,902,148,754,12,122,76,18,40,830,2,126,4,28,0,164,1130,4588
18,ARUNACHAL PRADESH,2007,136,58,4,96,0,96,136,88,48,32,0,150,480,1026,232,794,32,82,66,20,44,750,0,144,2,40,0,164,1110,4572
19,ARUNACHAL PRADESH,2008,144,74,4,84,0,84,158,94,64,28,0,158,490,890,120,770,36,86,56,2,20,958,0,144,2,26,0,208,1180,4748
20,ARUNACHAL PRADESH,2009,118,66,10,118,0,118,124,56,68,40,0,110,402,762,218,544,104,76,58,16,56,1052,0,116,12,26,0,220,1238,4724
21,ARUNACHAL PRADESH,2010,150,68,6,94,0,94,134,92,42,30,0,138,422,890,278,612,62,118,182,0,56,878,0,168,2,24,0,212,1244,4878
22,ARUNACHAL PRADESH,2011,130,58,4,84,0,84,186,120,66,26,0,128,366,828,304,524,98,108,148,4,68,758,0,102,0,36,0,196,1244,4572
23,ARUNACHAL PRADESH,2012,146,58,2,92,0,92,164,116,48,40,0,130,430,804,190,614,56,110,170,2,66,876,2,134,4,52,0,188,1314,4840
24,ASSAM,2001,2712,962,80,1634,0,1634,2960,2140,820,1064,28,1374,4846,10734,700,10034,5906,748,1150,92,882,11610,118,1700,8,2496,0,4020,18630,73754
25,ASSAM,2002,2506,958,110,1940,0,1940,3190,2552,638,946,36,1214,5008,11110,992,10118,6028,1116,1438,114,876,9528,140,1968,14,3388,0,3914,17150,72692
26,ASSAM,2003,2382,970,96,2190,0,2190,3256,2702,554,942,52,1046,5212,11050,812,10238,6680,1222,1788,116,1354,9904,120,1756,12,3616,0,4172,18454,76390
